Mean,Median,variance,std,sem
40.675741141,41.557808879999996,24.947764120254785,4.994773680584014,0.32934562340083046
52.59117180960674,51.77615728,39.29017727327859,6.268187718414198,0.4698205327526109
52.88479510859551,51.82058438,43.1286841288361,6.567243267066943,0.49223569380113846
55.23563764047872,53.698742644999996,68.553577112446,8.279708757706759,0.6038598237739697
54.331564658333335,52.509284609999995,66.17347898736506,8.134708291473338,0.5964657512424235
54.03358078635359,52.28893409,61.168082936697,7.821002681031186,0.5813305510593875
52.32092986,50.446266345,43.852013013020404,6.622085246583617,0.544332054194047
40.21674506671052,40.67323554,23.486703952095297,4.8463082807530204,0.3209546065084819
54.23314911988951,52.43173664,59.450561673366,7.710419033578266,0.5731109332771459
53.23650655159341,51.818479325,48.5333553893861,6.966588504381905,0.516397896833217
